Tipo de Delito,Sexo del infractor,Periodo,Total
13.6.1 Estafas,Hombres,2018,11.847
13.6.1 Estafas,Hombres,2017,11.226
13.6.1 Estafas,Hombres,2016,9.184
13.6.1 Estafas,Hombres,2015,5.160
13.6.1 Estafas,Mujeres,2020,3.275
13.6.1 Estafas,Mujeres,2019,4.483
13.6.1 Estafas,Mujeres,2018,4.403
13.6.1 Estafas,Mujeres,2017,4.181
13.6.1 Estafas,Mujeres,2016,3.218
13.6.1 Estafas,Mujeres,2015,1.744
13.6.2 BIS Apropiación indebida,Hombres,2020,2.926
13.6.2 BIS Apropiación indebida,Hombres,2019,3.830
13.6.2 BIS Apropiación indebida,Hombres,2018,3.830
13.6.2 BIS Apropiación indebida,Hombres,2017,3.668
13.6.2 BIS Apropiación indebida,Hombres,2016,3.090
13.6.2 BIS Apropiación indebida,Hombres,2015,2.106
13.6.2 BIS Apropiación indebida,Mujeres,2020,960
13.6.2 BIS Apropiación indebida,Mujeres,2019,1.254
13.6.2 BIS Apropiación indebida,Mujeres,2018,1.252
13.6.2 BIS Apropiación indebida,Mujeres,2017,1.194
13.6.2 BIS Apropiación indebida,Mujeres,2016,1.073
13.6.2 BIS Apropiación indebida,Mujeres,2015,596
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2020,1.000
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2019,1.213
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2018,1.266
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2017,1.114
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2016,773
13.6.3 Defraudaciones de fluido eléctrico,Hombres,2015,414
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2020,396
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2019,591
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2018,654
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2017,570
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2016,398
13.6.3 Defraudaciones de fluido eléctrico,Mujeres,2015,182
13.9 Daños,Hombres,2020,6.361
13.9 Daños,Hombres,2019,8.655
13.9 Daños,Hombres,2018,8.478
13.9 Daños,Hombres,2017,8.207
13.9 Daños,Hombres,2016,6.751
13.9 Daños,Hombres,2015,4.261
13.9 Daños,Mujeres,2020,1.248
13.9 Daños,Mujeres,2019,1.597
13.9 Daños,Mujeres,2018,1.559
13.9 Daños,Mujeres,2017,1.487
13.9 Daños,Mujeres,2016,1.087
13.9 Daños,Mujeres,2015,593
13.14 Receptación y blanqueo de capitales,Hombres,2020,1.698
13.14 Receptación y blanqueo de capitales,Hombres,2019,2.494
13.14 Receptación y blanqueo de capitales,Hombres,2018,2.665
13.14 Receptación y blanqueo de capitales,Hombres,2017,2.550
13.14 Receptación y blanqueo de capitales,Hombres,2016,2.527
13.14 Receptación y blanqueo de capitales,Hombres,2015,2.326
13.14 Receptación y blanqueo de capitales,Mujeres,2020,366
13.14 Receptación y blanqueo de capitales,Mujeres,2019,442
13.14 Receptación y blanqueo de capitales,Mujeres,2018,496
13.14 Receptación y blanqueo de capitales,Mujeres,2017,471
13.14 Receptación y blanqueo de capitales,Mujeres,2016,473
13.14 Receptación y blanqueo de capitales,Mujeres,2015,407
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2020,1.356
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2019,1.834
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2018,1.783
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2017,1.733
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2016,1.576
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Hombres,2015,1.229
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2020,365
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2019,444
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2018,461
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2017,425
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2016,394
13.99 Otros delitos contra el patrimonio y orden socioeconómico,Mujeres,2015,346
